Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
UNLV Rebels,.482,.332,.747,10.17142857142857,24.37142857142857,14.571428571428571,7.942857142857143,3.0285714285714285,10.82857142857143,17.285714285714285,.469,.848,16.9,3.1,1.8,.424,.830,11.3,0.9,0.8,.483,.737,11.1,4.8,2.5,2
USC Trojans,.515,.387,.685,9.242424242424242,24.272727272727273,12.393939393939394,5.696969696969697,4.393939393939394,14.606060606060606,16.060606060606062,.464,.803,20.7,3.3,3.5,.578,.696,12.1,0.8,2.4,.580,.594,10.8,1.3,2.5,1
UT-Martin Skyhawks,.514,.344,.690,13.06060606060606,24.12121212121212,13.969696969696969,7.181818181818182,2.393939393939394,13.848484848484848,16.96969696969697,.544,.834,25.7,4.5,3.8,.518,.747,17.1,1.8,2.3,.489,.640,14.0,0.5,2.0,1
Vanderbilt Commodores,.506,.399,.735,10.558823529411764,24.647058823529413,17.823529411764707,6.088235294117647,3.4705882352941178,14.529411764705882,18.323529411764707,.610,.760,20.3,1.6,1.7,.591,.769,17.0,1.2,2.5,.410,.784,10.8,3.1,2.1,1
Villanova Wildcats,.478,.344,.727,13.057142857142857,22.857142857142858,13.314285714285715,8.085714285714285,2.8,14.371428571428572,20.771428571428572,.443,.779,15.9,3.2,3.1,.544,.690,10.4,1.1,2.3,.371,.747,9.1,2.7,2.0,3
Washington State Cougars,.530,.368,.728,7.828571428571428,22.0,13.771428571428572,6.228571428571429,2.914285714285714,10.228571428571428,15.257142857142858,.510,.784,14.1,1.6,1.2,.491,.733,12.2,4.3,2.8,.603,.660,10.4,0.3,1.5,3
West Virginia Mountaineers,.504,.355,.689,12.243243243243244,23.756756756756758,15.432432432432432,6.945945945945946,5.081081081081081,11.162162162162161,19.18918918918919,.480,.814,16.9,2.4,2.2,.623,.826,13.8,2.8,1.7,.537,.640,12.9,1.7,1.5,3
Western Kentucky Hilltoppers,.510,.393,.701,12.63888888888889,22.416666666666668,12.722222222222221,8.0,3.75,14.277777777777779,21.333333333333332,.515,.822,20.4,2.1,2.3,.461,.673,14.4,3.7,2.8,.435,.754,7.6,1.1,1.4,3
Winthrop Eagles,.471,.370,.591,11.558823529411764,23.58823529411765,12.794117647058824,8.352941176470589,3.6470588235294117,12.911764705882353,17.38235294117647,.465,.713,13.9,2.5,1.9,.541,.603,11.6,1.4,1.8,.449,.605,9.9,4.1,1.6,1
Wisconsin Badgers,.493,.356,.705,11.63888888888889,24.25,12.63888888888889,6.138888888888889,3.3333333333333335,12.166666666666666,14.36111111111111,.500,.647,12.4,0.8,1.4,.459,.688,11.2,2.5,2.1,.490,.765,10.8,1.4,1.8,3
Xavier Musketeers,.522,.391,.749,11.135135135135135,24.594594594594593,15.243243243243244,5.5675675675675675,3.3783783783783785,12.972972972972974,17.37837837837838,.566,.853,12.4,1.3,1.6,.649,.706,10.9,1.7,1.9,.440,.868,10.8,4.5,1.7,4
